floe_id,scale,rotation,area,convex_area,major_axis_length,minor_axis_length,adr_area,adr_convex_area,adr_major_axis_length,adr_minor_axis_length,est_rotation,mismatch,recall,normalized_sd
1,1.0,-45.0,159612.0,159612.0,461.3184005290345,461.3184005290345,0.0024279438819568727,0.0024279438819568727,0.0012139799848361827,0.0012139799848361827,0.0,0.0,8.678319925820114,0.3435581284615192
1,1.0,-42.0,159992.0,160580.0,461.8535309318331,461.8535309318331,5.000125003125078e-5,0.003618441574645954,5.465012289782049e-5,5.465012289782049e-5,0.0,0.0,8.658732936646832,0.3417170858542927
1,1.0,-39.0,160004.0,160604.0,461.8867257416201,461.8867257416201,2.49996875039062e-5,0.0037678881111901288,1.7220318073011368e-5,1.7220318073011368e-5,0.0,0.0,8.661908452288692,0.3378665533361666
1,1.0,-36.0,159996.0,160632.0,461.8695718355288,461.8695718355288,2.50003125039063e-5,0.003942214127098979,1.99191442241031e-5,1.99191442241031e-5,0.0,0.0,8.669141728543213,0.33108327708192703
1,1.0,-33.0,160000.0,160656.0,461.8807040784449,461.8807040784449,0.0,0.004091612195000249,4.1831336460423e-6,4.1831336460423e-6,0.0,0.0,8.6784,0.3216
1,1.0,-30.0,160000.0,160676.0,461.8784913805794,461.8784913805794,0.0,0.00421609350247602,6.075041660214246e-7,6.075041660214246e-7,0.0,0.0,8.6906,0.3094
1,1.0,-27.0,159996.0,160704.0,461.86834548301096,461.86834548301096,2.50003125039063e-5,0.004390341249251646,2.2574340020912872e-5,2.2574340020912872e-5,0.0,0.0,8.706042651066277,0.294182354558864
1,1.0,-24.0,160004.0,160712.0,461.8931812304965,461.8931812304965,2.49996875039062e-5,0.004440120731372696,3.1196566802377925e-5,3.1196566802377925e-5,0.0,0.0,8.723706907327317,0.2760680982975426
1,1.0,-21.0,160000.0,160728.0,461.8809890004134,461.8809890004134,0.0,0.004539672245641166,4.800006960087877e-6,4.800006960087877e-6,0.0,0.0,8.7452,0.2548
1,1.0,-18.0,159996.0,160748.0,461.8684836210456,461.8684836210456,2.50003125039063e-5,0.0046640976716924186,2.2275254761433882e-5,2.2275254761433882e-5,0.0,0.0,8.770044251106277,0.23018075451886297
1,1.0,-15.0,160000.0,160760.0,461.8823850289162,461.8823850289162,0.0,0.004738745479486221,7.822487699209382e-6,7.822487699209382e-6,0.0,0.0,8.79795,0.20205
1,1.0,-12.0,160000.0,160764.0,461.8783545480346,461.8783545480346,0.0,0.00476362684091731,9.03756465314418e-7,9.03756465314418e-7,0.0,0.0,8.82975,0.17025
1,1.0,-9.0,160000.0,160772.0,461.8784125719668,461.8784125719668,0.0,0.004813387702168518,7.781304688427476e-7,7.781304688427476e-7,0.0,0.0,8.86555,0.13445
1,1.0,-6.0,159996.0,160780.0,461.8704361695985,461.8704361695985,2.50003125039063e-5,0.004863146081426523,1.8047764697072447e-5,1.8047764697072447e-5,0.0,0.0,8.905747643691091,0.09447736193404835
1,1.0,-3.0,160000.0,160768.0,461.8813501322607,461.8813501322607,0.0,0.004788507581803671,5.581878729447024e-6,5.581878729447024e-6,0.0,0.0,8.9503,0.0497
1,1.0,0.0,160000.0,160000.0,461.87877197377236,461.87877197377236,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
1,1.0,3.0,160000.0,160768.0,461.8813501322607,461.8813501322607,0.0,0.004788507581803671,5.581878729447024e-6,5.581878729447024e-6,0.0,0.0,8.9503,0.0497
1,1.0,6.0,159996.0,160780.0,461.8704361695985,461.8704361695985,2.50003125039063e-5,0.004863146081426523,1.8047764697072447e-5,1.8047764697072447e-5,0.0,0.0,8.905747643691091,0.09447736193404835
1,1.0,9.0,160000.0,160772.0,461.8784125719668,461.8784125719668,0.0,0.004813387702168518,7.781304688427476e-7,7.781304688427476e-7,0.0,0.0,8.86555,0.13445
1,1.0,12.0,160000.0,160764.0,461.8783545480346,461.8783545480346,0.0,0.00476362684091731,9.03756465314418e-7,9.03756465314418e-7,0.0,0.0,8.82975,0.17025
1,1.0,15.0,160000.0,160760.0,461.8823850289162,461.8823850289162,0.0,0.004738745479486221,7.822487699209382e-6,7.822487699209382e-6,0.0,0.0,8.79795,0.20205
1,1.0,18.0,159996.0,160748.0,461.8684836210456,461.8684836210456,2.50003125039063e-5,0.0046640976716924186,2.2275254761433882e-5,2.2275254761433882e-5,0.0,0.0,8.770044251106277,0.23018075451886297
1,1.0,21.0,160000.0,160728.0,461.8809890004134,461.8809890004134,0.0,0.004539672245641166,4.800006960087877e-6,4.800006960087877e-6,0.0,0.0,8.7452,0.2548
1,1.0,24.0,160004.0,160712.0,461.8931812304965,461.8931812304965,2.49996875039062e-5,0.004440120731372696,3.1196566802377925e-5,3.1196566802377925e-5,0.0,0.0,8.723706907327317,0.2760680982975426
1,1.0,27.0,159996.0,160704.0,461.86834548301096,461.86834548301096,2.50003125039063e-5,0.004390341249251646,2.2574340020912872e-5,2.2574340020912872e-5,0.0,0.0,8.706042651066277,0.294182354558864
1,1.0,30.0,160000.0,160676.0,461.8784913805794,461.8784913805794,0.0,0.00421609350247602,6.075041660214246e-7,6.075041660214246e-7,0.0,0.0,8.6906,0.3094
1,1.0,33.0,160000.0,160656.0,461.8807040784449,461.8807040784449,0.0,0.004091612195000249,4.1831336460423e-6,4.1831336460423e-6,0.0,0.0,8.6784,0.3216
1,1.0,36.0,159996.0,160632.0,461.8695718355288,461.8695718355288,2.50003125039063e-5,0.003942214127098979,1.99191442241031e-5,1.99191442241031e-5,0.0,0.0,8.669141728543213,0.33108327708192703
1,1.0,39.0,160004.0,160604.0,461.8867257416201,461.8867257416201,2.49996875039062e-5,0.0037678881111901288,1.7220318073011368e-5,1.7220318073011368e-5,0.0,0.0,8.661908452288692,0.3378665533361666
1,1.0,42.0,159992.0,160580.0,461.8535309318331,461.8535309318331,5.000125003125078e-5,0.003618441574645954,5.465012289782049e-5,5.465012289782049e-5,0.0,0.0,8.658732936646832,0.3417170858542927
1,1.0,45.0,159612.0,159612.0,461.3184005290345,461.3184005290345,0.0024279438819568727,0.0024279438819568727,0.0012139799848361827,0.0012139799848361827,0.0,0.0,8.678319925820114,0.3435581284615192
2,1.0,-45.0,137.0,137.0,17.189370336191622,10.621559125108478,0.014705882352941176,0.014705882352941176,0.0053728601616001735,0.028029626386704025,0.0,0.0,12.328467153284672,0.48175182481751827
2,1.0,-42.0,133.0,135.0,16.899105145242988,10.324761324981875,0.014925373134328358,0.0,0.02240245461475878,0.00030933120496803585,0.0,0.0,12.729323308270677,0.46616541353383456
2,1.0,-39.0,135.0,149.0,17.53952362595509,10.409856433907395,0.0,0.09859154929577464,0.014792495378758813,0.007898696731070754,0.0,0.0,12.555555555555555,0.4444444444444444
2,1.0,-36.0,135.0,149.0,17.286117050524116,10.389692626403102,0.0,0.09859154929577464,0.00023963455896331082,0.005959849870229533,0.0,0.0,12.585185185185185,0.4148148148148148
2,1.0,-33.0,137.0,149.0,17.296323258220262,10.568751847581716,0.014705882352941176,0.09859154929577464,0.0008298882887522438,0.023046334779374768,0.0,0.0,12.386861313868613,0.4233576642335766
2,1.0,-30.0,135.0,149.0,17.25440978225766,10.419540515176884,0.0,0.09859154929577464,0.0015963114561170836,0.008828528013853988,0.0,0.0,12.614814814814816,0.3851851851851852
2,1.0,-27.0,135.0,151.0,16.8963462636845,10.550520505533123,0.0,0.11188811188811189,0.02256570338174402,0.021320034530250623,0.0,0.0,12.644444444444444,0.35555555555555557
2,1.0,-24.0,135.0,153.0,17.256079494714385,10.518675548134022,0.0,0.125,0.0014995460092925913,0.018297436836183893,0.0,0.0,12.674074074074074,0.32592592592592595
2,1.0,-21.0,135.0,147.0,17.33155632201411,10.336671857347623,0.0,0.0851063829787234,0.002864840661194095,0.0008435929932378164,0.0,0.0,12.703703703703704,0.2962962962962963
2,1.0,-18.0,137.0,149.0,17.240000514943006,10.62746282921614,0.014705882352941176,0.09859154929577464,0.002431765850428026,0.028585183396449897,0.0,0.0,12.532846715328468,0.2773722627737226
