area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
832,26.0,274.0,58.0,306.0,42.0,292.0,858.0,1.0,36.18,29.62,0.66,108.08,105.15,0.0,0.01,0.87,0.9
109,65.0,264.0,77.0,274.0,71.0,268.0,115.0,2.0,13.39,10.52,-0.14,37.56,38.29,0.0,0.01,0.86,0.9
164,91.0,214.0,107.0,225.0,99.0,220.0,169.0,3.0,17.23,12.14,0.21,45.8,46.1,0.0,0.03,0.85,0.87
319,121.0,251.0,139.0,271.0,130.0,261.0,335.0,4.0,22.27,18.52,-0.99,66.04,65.29,0.0,0.01,0.86,0.9
82,218.0,332.0,225.0,343.0,222.0,338.0,86.0,5.0,12.44,8.51,1.41,32.49,33.48,0.0,0.01,0.9,0.92
100,219.0,353.0,229.0,364.0,224.0,358.0,104.0,6.0,12.79,9.96,0.89,34.97,35.84,0.0,0.01,0.89,0.92
245,222.0,238.0,241.0,254.0,231.0,246.0,255.0,7.0,19.58,15.97,0.41,56.53,56.27,0.0,0.02,0.87,0.91
146,240.0,257.0,252.0,272.0,246.0,265.0,157.0,8.0,14.94,12.51,-1.46,44.04,44.44,0.0,0.01,0.87,0.92
137,268.0,185.0,278.0,200.0,274.0,193.0,145.0,9.0,15.93,11.23,-1.33,43.56,43.98,0.0,0.03,0.75,0.8
75,271.0,329.0,280.0,338.0,275.0,334.0,77.0,10.0,9.92,9.77,0.91,29.56,30.7,0.0,0.01,0.89,0.91
224,272.0,279.0,290.0,292.0,281.0,285.0,229.0,11.0,19.61,14.67,0.17,53.8,53.69,0.0,0.01,0.88,0.93
293,281.0,321.0,306.0,335.0,294.0,327.0,302.0,12.0,24.9,15.1,0.11,64.53,63.86,0.0,0.01,0.89,0.92
80,299.0,347.0,308.0,357.0,303.0,352.0,86.0,13.0,10.78,9.49,1.35,31.56,32.6,0.0,0.01,0.89,0.93
186,300.0,79.0,314.0,95.0,308.0,87.0,198.0,14.0,17.43,13.68,-1.02,50.04,50.12,0.0,0.04,0.71,0.78
151,304.0,210.0,319.0,222.0,312.0,216.0,161.0,15.0,15.68,12.41,0.03,44.63,44.99,0.0,0.02,0.88,0.92
68,323.0,141.0,331.0,151.0,327.0,146.0,74.0,16.0,12.08,7.29,-1.04,30.14,31.26,0.0,0.03,0.82,0.87
257,323.0,296.0,339.0,314.0,330.0,305.0,267.0,17.0,19.35,17.15,-1.21,58.04,57.71,0.0,0.01,0.89,0.93
126,324.0,84.0,340.0,94.0,332.0,89.0,133.0,18.0,18.38,8.75,-0.42,43.21,43.65,0.0,0.03,0.82,0.85
125,332.0,194.0,344.0,206.0,339.0,200.0,133.0,19.0,13.51,11.97,0.81,40.38,40.97,0.0,0.01,0.89,0.92
444,336.0,107.0,358.0,131.0,347.0,118.0,461.0,20.0,26.43,21.68,-1.03,77.94,76.57,0.0,0.02,0.77,0.82
68,348.0,177.0,357.0,185.0,352.0,181.0,74.0,21.0,10.4,8.45,-0.29,28.73,29.92,0.0,0.02,0.88,0.91
81,354.0,210.0,366.0,216.0,360.0,213.0,83.0,22.0,13.81,7.47,-0.0,32.49,33.48,0.0,0.01,0.88,0.92
76,362.0,163.0,374.0,169.0,368.0,166.0,79.0,23.0,13.89,6.99,-0.22,32.49,33.48,0.0,0.02,0.87,0.9
