"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,163.456,102.2,154.0,97.0,173.0,108.0,180,180.0,19.533,11.802,0.249,50.627,0.882,1.0,0.0,1.0,0.853,0.859,0.864,0.149,0.903,0.911,0.029,0.029,0.096,0.029
2.0,165.966,67.695,163.0,63.0,169.0,72.0,59,59.0,10.311,7.26,1.349,26.485,1.057,1.0,0.0,1.0,0.846,0.843,0.847,0.193,0.895,0.911,0.047,0.045,0.061,0.047
3.0,181.321,89.831,170.0,75.0,194.0,103.0,502,502.0,29.846,21.852,1.184,85.841,0.856,1.0,0.0,1.0,0.849,0.853,0.859,0.159,0.9,0.903,0.047,0.044,0.098,0.025
4.0,191.204,109.713,184.0,103.0,198.0,117.0,181,181.0,16.696,14.262,-0.755,50.142,0.905,1.0,0.0,1.0,0.885,0.887,0.884,0.177,0.931,0.937,0.023,0.023,0.067,0.017
5.0,193.872,30.543,187.0,22.0,201.0,41.0,219,223.0,19.311,14.884,1.373,56.042,0.876,0.982,0.0,0.995,0.84,0.845,0.847,0.199,0.886,0.896,0.081,0.066,0.108,0.059
7.0,200.32,86.093,191.0,81.0,208.0,92.0,150,150.0,19.212,10.313,0.428,47.799,0.825,1.0,0.0,1.0,0.869,0.874,0.877,0.183,0.92,0.925,0.017,0.019,0.077,0.023
10.0,210.016,51.597,206.0,48.0,214.0,56.0,62,62.0,9.66,8.197,0.515,27.314,1.044,1.0,0.0,0.984,0.805,0.819,0.83,0.127,0.863,0.872,0.089,0.072,0.067,0.067
11.0,223.494,14.815,219.0,10.0,228.0,20.0,81,81.0,10.928,9.511,1.034,30.971,1.061,1.0,0.0,1.0,0.853,0.86,0.859,0.21,0.907,0.912,0.048,0.045,0.11,0.053
