"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,16.018,49.826,9.0,44.0,25.0,56.0,167,168.0,18.222,12.199,0.067,49.556,0.855,1.006,0.0,1.0,0.867,0.865,0.887,0.111,0.912,0.915,0.044,0.04,0.12,0.034
2.0,23.244,32.422,15.0,27.0,31.0,37.0,135,136.0,18.926,9.363,-0.208,46.142,0.797,1.007,0.0,1.0,0.851,0.852,0.886,0.089,0.893,0.908,0.049,0.036,0.087,0.036
3.0,34.972,86.273,21.0,75.0,46.0,98.0,462,467.0,25.933,23.511,0.335,81.941,0.865,1.011,0.0,0.972,0.851,0.854,0.87,0.106,0.893,0.906,0.091,0.082,0.123,0.053
4.0,30.667,45.548,25.0,41.0,37.0,50.0,93,93.0,14.836,8.003,0.58,35.556,0.924,1.0,0.0,0.989,0.852,0.852,0.883,0.079,0.891,0.9,0.058,0.048,0.089,0.038
5.0,33.585,119.868,26.0,110.0,41.0,128.0,205,210.0,20.166,13.295,-1.095,54.87,0.856,1.024,0.0,1.0,0.85,0.851,0.862,0.105,0.891,0.901,0.065,0.059,0.126,0.054
6.0,37.28,148.463,33.0,143.0,41.0,154.0,82,82.0,11.717,9.067,-1.41,32.728,0.962,1.0,0.0,1.0,0.875,0.873,0.88,0.125,0.922,0.931,0.032,0.028,0.057,0.028
7.0,82.248,40.53,41.0,4.0,125.0,76.0,4742,4787.0,85.187,71.364,0.203,264.794,0.85,1.009,0.0,1.0,0.881,0.879,0.902,0.096,0.925,0.933,0.025,0.025,0.064,0.007
8.0,46.814,152.953,43.0,147.0,51.0,158.0,86,86.0,12.715,8.88,1.443,33.899,0.94,1.0,0.0,1.0,0.877,0.874,0.889,0.102,0.919,0.93,0.022,0.019,0.056,0.023
9.0,50.061,70.73,44.0,65.0,55.0,77.0,115,116.0,13.407,11.136,1.205,39.556,0.924,1.009,0.0,0.748,0.715,0.724,0.753,0.065,0.705,0.753,0.249,0.192,0.192,0.092
10.0,50.451,101.211,46.0,97.0,55.0,106.0,71,71.0,10.567,8.649,-0.392,29.556,1.021,1.0,0.0,1.0,0.848,0.857,0.87,0.12,0.897,0.9,0.033,0.043,0.223,0.054
12.0,61.106,146.421,50.0,141.0,72.0,153.0,216,217.0,22.526,12.343,0.222,57.113,0.832,1.005,0.0,1.0,0.881,0.88,0.886,0.091,0.93,0.931,0.015,0.014,0.049,0.009
13.0,62.367,172.075,50.0,164.0,77.0,180.0,335,336.0,27.74,15.642,0.29,72.527,0.8,1.003,0.0,0.994,0.879,0.876,0.894,0.08,0.925,0.929,0.051,0.042,0.077,0.023
14.0,56.989,204.695,50.0,200.0,65.0,208.0,95,98.0,15.221,8.224,-0.068,38.971,0.786,1.032,0.0,1.0,0.858,0.854,0.873,0.097,0.9,0.912,0.025,0.025,0.048,0.023
15.0,64.865,101.553,55.0,92.0,75.0,113.0,244,247.0,27.96,11.381,-0.801,67.598,0.671,1.012,0.0,0.963,0.854,0.852,0.863,0.113,0.895,0.901,0.098,0.089,0.124,0.048
16.0,64.725,229.217,60.0,226.0,69.0,233.0,69,69.0,10.695,8.289,0.244,28.485,1.069,1.0,0.0,1.0,0.862,0.863,0.872,0.12,0.913,0.921,0.033,0.026,0.07,0.025
18.0,92.524,215.618,75.0,193.0,111.0,240.0,1413,1453.0,50.005,36.782,-1.401,147.983,0.811,1.028,0.0,1.0,0.876,0.874,0.884,0.087,0.923,0.927,0.027,0.024,0.172,0.014
19.0,100.482,121.392,82.0,102.0,119.0,141.0,1139,1157.0,43.267,33.745,0.79,127.983,0.874,1.016,0.0,0.988,0.877,0.874,0.887,0.108,0.921,0.926,0.068,0.062,0.165,0.023
20.0,91.071,185.504,84.0,180.0,98.0,190.0,127,127.0,15.316,10.884,-0.338,40.971,0.951,1.0,0.0,1.0,0.886,0.88,0.899,0.111,0.925,0.936,0.03,0.02,0.102,0.022
21.0,91.45,91.488,86.0,84.0,98.0,99.0,160,160.0,16.307,12.619,-1.399,45.799,0.959,1.0,0.0,0.994,0.855,0.852,0.87,0.109,0.89,0.9,0.071,0.07,0.154,0.052
22.0,102.559,156.532,91.0,148.0,114.0,167.0,372,374.0,24.383,19.679,-0.164,71.113,0.924,1.005,0.0,1.0,0.867,0.863,0.879,0.122,0.914,0.916,0.052,0.05,0.161,0.035
24.0,129.469,74.548,114.0,56.0,144.0,92.0,670,681.0,39.867,22.117,-0.939,104.468,0.771,1.016,0.0,1.0,0.869,0.869,0.887,0.053,0.913,0.926,0.03,0.03,0.053,0.012
26.0,123.737,145.868,118.0,142.0,129.0,149.0,76,76.0,13.129,7.465,-0.341,31.899,0.939,1.0,0.0,1.0,0.876,0.869,0.88,0.163,0.927,0.923,0.053,0.049,0.2,0.062
27.0,129.092,129.431,121.0,117.0,138.0,139.0,283,288.0,23.609,15.776,-1.121,65.941,0.818,1.018,0.0,1.0,0.877,0.873,0.885,0.123,0.927,0.931,0.045,0.039,0.089,0.027
28.0,140.508,89.27,131.0,84.0,148.0,93.0,126,126.0,17.642,9.382,-0.194,43.799,0.825,1.0,0.0,1.0,0.867,0.866,0.885,0.068,0.909,0.926,0.038,0.037,0.066,0.031
29.0,138.888,192.542,133.0,187.0,144.0,198.0,107,107.0,13.625,10.097,-0.809,36.971,0.984,1.0,0.0,0.953,0.809,0.819,0.834,0.231,0.847,0.86,0.102,0.102,0.138,0.075
