"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
88.0,365.209,103.567,362.0,99.0,369.0,108.0,67,67.0,10.495,8.153,1.409,27.899,1.082,1.0,0.0,1.0,0.752,0.795,0.813,0.039,0.708,0.806,0.019,0.023,0.098,0.028
89.0,370.426,232.101,364.0,227.0,377.0,238.0,129,129.0,14.514,11.459,-0.602,40.971,0.966,1.0,0.0,1.0,0.745,0.793,0.804,0.038,0.71,0.816,0.031,0.024,0.136,0.022
90.0,376.717,157.339,365.0,150.0,385.0,164.0,230,230.0,21.324,14.11,-0.347,58.042,0.858,1.0,0.0,1.0,0.749,0.792,0.809,0.028,0.709,0.806,0.028,0.024,0.086,0.025
91.0,374.882,170.224,369.0,167.0,381.0,173.0,76,76.0,13.49,7.178,0.117,31.314,0.974,1.0,0.0,1.0,0.747,0.79,0.806,0.026,0.709,0.818,0.023,0.024,0.074,0.023
92.0,372.816,188.118,369.0,183.0,377.0,194.0,76,76.0,11.583,8.486,-1.197,30.971,0.996,1.0,0.0,1.0,0.749,0.792,0.813,0.039,0.715,0.81,0.044,0.038,0.085,0.037
93.0,380.965,108.213,371.0,102.0,391.0,113.0,141,166.0,22.387,9.468,-0.323,60.87,0.478,1.177,0.0,0.993,0.752,0.792,0.809,0.038,0.716,0.815,0.045,0.039,0.094,0.037
94.0,383.476,85.384,372.0,76.0,395.0,95.0,349,352.0,26.504,16.965,-0.541,72.284,0.839,1.009,0.0,0.983,0.743,0.786,0.805,0.027,0.702,0.807,0.062,0.049,0.1,0.032
95.0,383.023,205.718,375.0,189.0,395.0,224.0,482,504.0,35.068,18.752,-1.379,92.669,0.705,1.046,0.0,1.0,0.748,0.788,0.804,0.026,0.712,0.81,0.029,0.024,0.125,0.021
96.0,385.126,41.586,380.0,37.0,391.0,46.0,87,87.0,12.673,8.803,0.445,32.971,1.006,1.0,0.0,0.989,0.743,0.786,0.808,0.042,0.701,0.788,0.057,0.052,0.128,0.052
97.0,390.354,229.677,383.0,223.0,398.0,237.0,158,159.0,17.979,11.352,0.684,47.456,0.882,1.006,0.0,1.0,0.752,0.79,0.808,0.028,0.72,0.809,0.025,0.021,0.115,0.019
