area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
1102,3.0,4.0,42.0,40.0,22.0,22.0,1131.0,1.0,43.28,32.55,0.77,124.23,120.45,0.0,0.01,0.92,0.93
69,7.0,354.0,17.0,362.0,12.0,358.0,77.0,2.0,10.72,8.44,-0.6,30.73,31.81,0.0,0.03,0.89,0.92
60,10.0,340.0,16.0,349.0,13.0,345.0,62.0,3.0,10.33,7.41,1.49,26.49,27.79,0.0,0.04,0.91,0.92
636,15.0,168.0,40.0,204.0,27.0,186.0,672.0,4.0,37.71,21.95,-1.24,101.5,98.91,0.0,0.02,0.92,0.93
173,16.0,332.0,34.0,344.0,25.0,338.0,187.0,5.0,20.15,11.01,0.38,51.21,51.23,0.0,0.02,0.91,0.93
70,16.0,380.0,27.0,387.0,21.0,383.0,72.0,6.0,11.5,8.12,-0.1,30.14,31.26,0.0,0.02,0.91,0.93
292,20.0,293.0,35.0,314.0,28.0,303.0,306.0,7.0,23.38,16.31,1.55,64.38,63.72,0.0,0.02,0.92,0.93
83,25.0,354.0,34.0,364.0,30.0,358.0,87.0,11.0,12.14,8.86,0.84,32.14,33.15,0.0,0.02,0.91,0.92
67,25.0,384.0,35.0,392.0,30.0,388.0,73.0,12.0,10.32,8.67,0.17,29.56,30.7,0.0,0.02,0.92,0.94
68,31.0,322.0,41.0,328.0,36.0,325.0,70.0,15.0,11.82,7.34,0.21,29.07,30.24,0.0,0.02,0.92,0.93
296,33.0,57.0,58.0,73.0,45.0,66.0,316.0,16.0,23.96,16.26,0.25,70.77,70.01,0.0,0.02,0.9,0.91
79,33.0,254.0,43.0,263.0,38.0,258.0,83.0,17.0,12.54,8.13,-0.56,31.56,32.6,0.0,0.02,0.92,0.93
65,37.0,340.0,45.0,348.0,41.0,344.0,68.0,20.0,9.78,8.81,-1.39,28.49,29.69,0.0,0.03,0.92,0.93
114,37.0,383.0,49.0,393.0,43.0,388.0,120.0,21.0,13.47,10.86,0.45,38.14,38.84,0.0,0.03,0.92,0.94
294,38.0,148.0,59.0,165.0,48.0,156.0,306.0,22.0,24.48,15.56,0.61,64.87,64.18,0.0,0.02,0.91,0.93
70,40.0,213.0,49.0,221.0,45.0,216.0,74.0,23.0,10.19,8.87,-0.07,29.31,30.47,0.0,0.02,0.92,0.93
73,40.0,291.0,49.0,298.0,45.0,294.0,74.0,24.0,11.12,8.61,0.35,30.24,31.35,0.0,0.04,0.88,0.9
51,40.0,367.0,47.0,374.0,43.0,370.0,55.0,25.0,9.31,7.16,-0.67,25.07,26.45,0.0,0.04,0.91,0.91
121,46.0,169.0,58.0,186.0,53.0,178.0,163.0,26.0,22.16,8.96,-1.16,54.73,56.69,0.0,0.02,0.9,0.9
117,46.0,220.0,58.0,233.0,52.0,226.0,125.0,27.0,14.2,10.59,-0.9,39.46,40.09,0.0,0.02,0.93,0.94
89,47.0,19.0,56.0,32.0,51.0,25.0,99.0,29.0,14.07,8.47,-1.18,36.97,37.73,0.0,0.02,0.91,0.94
