area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
409,5.0,237.0,28.0,262.0,18.0,251.0,431.0,1.0,30.12,17.98,-0.87,80.77,79.26,0.02,0.23,0.88,0.9
388,6.0,283.0,31.0,302.0,19.0,292.0,410.0,2.0,26.38,19.01,0.27,74.53,73.34,0.0,0.06,0.85,0.87
367,8.0,322.0,33.0,338.0,20.0,330.0,381.0,3.0,27.75,17.12,-0.07,73.8,72.65,0.62,0.43,0.85,0.86
202,16.0,304.0,35.0,315.0,26.0,310.0,211.0,4.0,21.25,12.36,-0.05,54.73,54.57,0.21,0.27,0.89,0.91
295,18.0,214.0,35.0,234.0,25.0,223.0,304.0,5.0,23.72,16.37,-1.15,65.21,64.51,0.02,0.35,0.87,0.89
106,26.0,265.0,37.0,277.0,32.0,272.0,113.0,6.0,14.33,9.64,-0.8,38.38,39.07,0.0,0.06,0.82,0.84
445,30.0,186.0,53.0,211.0,41.0,197.0,478.0,7.0,25.29,23.02,-1.17,83.11,81.48,0.05,0.33,0.85,0.88
55,31.0,279.0,39.0,287.0,35.0,283.0,61.0,8.0,10.03,7.12,-1.03,26.73,28.02,0.0,0.1,0.9,0.94
102,36.0,229.0,47.0,239.0,42.0,234.0,108.0,9.0,12.81,10.35,0.53,36.14,36.95,0.0,0.17,0.86,0.89
364,39.0,262.0,58.0,285.0,48.0,273.0,378.0,10.0,25.52,18.33,1.2,70.53,69.55,0.0,0.1,0.87,0.9
380,41.0,292.0,63.0,313.0,52.0,301.0,397.0,11.0,23.39,20.95,0.52,71.94,70.89,0.56,0.49,0.91,0.93
252,45.0,81.0,65.0,98.0,55.0,89.0,267.0,12.0,23.64,13.77,-0.51,61.7,61.18,1.0,0.53,0.88,0.9
77,47.0,205.0,56.0,214.0,52.0,210.0,80.0,13.0,11.57,9.02,-0.66,31.9,32.92,0.05,0.2,0.81,0.84
166,52.0,227.0,69.0,239.0,60.0,234.0,178.0,14.0,18.54,11.76,0.37,50.38,50.45,0.04,0.24,0.83,0.86
120,55.0,260.0,66.0,273.0,61.0,266.0,128.0,15.0,15.63,10.12,1.14,40.97,41.52,0.0,0.09,0.89,0.91
52,59.0,278.0,66.0,286.0,63.0,282.0,57.0,16.0,9.14,7.36,-1.02,25.31,26.68,0.17,0.34,0.83,0.83
160,62.0,252.0,77.0,265.0,70.0,258.0,168.0,17.0,17.24,12.06,0.66,46.63,46.89,0.12,0.18,0.83,0.86
741,78.0,91.0,116.0,118.0,95.0,105.0,778.0,18.0,38.46,25.29,0.25,109.15,106.17,1.0,0.63,0.92,0.93
73,78.0,233.0,89.0,239.0,83.0,236.0,75.0,19.0,12.56,7.51,0.15,31.07,32.14,0.25,0.37,0.83,0.85
270,87.0,216.0,104.0,234.0,96.0,225.0,287.0,20.0,20.33,17.23,-1.45,62.38,61.83,0.92,0.51,0.85,0.87
1014,100.0,152.0,132.0,192.0,115.0,172.0,1062.0,21.0,41.33,31.47,-1.29,124.08,120.32,1.0,0.61,0.9,0.91
565,126.0,274.0,152.0,302.0,137.0,290.0,586.0,22.0,28.99,26.12,1.15,91.01,88.97,1.0,0.63,0.92,0.92
407,136.0,320.0,156.0,344.0,147.0,333.0,422.0,23.0,25.03,21.03,-1.31,74.53,73.34,1.0,0.63,0.93,0.93
884,229.0,209.0,263.0,246.0,245.0,225.0,940.0,24.0,36.77,33.95,1.37,123.25,119.53,1.0,0.64,0.92,0.92
10129,244.0,45.0,366.0,159.0,303.0,101.0,10436.0,25.0,117.58,111.12,-0.53,398.78,380.75,1.0,0.64,0.93,0.94
790,307.0,225.0,348.0,249.0,327.0,237.0,826.0,26.0,44.49,22.84,-0.31,114.18,110.93,1.0,0.64,0.92,0.93
247,322.0,151.0,344.0,165.0,334.0,158.0,259.0,27.0,23.48,13.52,-0.3,60.28,59.83,1.0,0.63,0.92,0.92
1110,340.0,304.0,377.0,344.0,359.0,325.0,1153.0,28.0,47.75,30.11,0.8,131.74,127.58,1.0,0.64,0.93,0.93
432,342.0,164.0,366.0,187.0,355.0,175.0,455.0,29.0,29.96,18.75,0.71,82.53,80.92,1.0,0.64,0.93,0.92
