"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,17.719,350.205,6.0,337.0,28.0,364.0,385,385.0,31.792,15.786,-0.955,79.841,0.759,1.0,0.0,1.0,0.808,0.805,0.807,0.037,0.869,0.87,0.058,0.05,0.208,0.038
2.0,33.172,342.212,29.0,336.0,37.0,350.0,99,99.0,15.133,8.543,1.354,37.556,0.882,1.0,0.0,1.0,0.817,0.813,0.811,0.071,0.863,0.872,0.057,0.054,0.218,0.079
3.0,58.522,12.597,54.0,9.0,64.0,16.0,67,67.0,10.609,8.052,0.056,28.142,1.063,1.0,0.328,0.672,0.772,0.776,0.795,0.428,0.834,0.844,0.372,0.03,0.111,0.127
4.0,63.061,356.573,58.0,350.0,68.0,363.0,131,131.0,15.017,11.276,1.548,40.728,0.992,1.0,0.0,1.0,0.723,0.723,0.734,0.081,0.759,0.767,0.126,0.1,0.242,0.084
5.0,83.718,62.261,75.0,58.0,91.0,67.0,142,142.0,17.114,10.777,0.041,44.142,0.916,1.0,0.0,1.0,0.847,0.847,0.853,0.233,0.906,0.906,0.035,0.031,0.042,0.019
6.0,79.569,133.176,76.0,129.0,83.0,137.0,51,51.0,9.926,6.577,1.083,24.728,1.048,1.0,0.0,1.0,0.77,0.775,0.781,0.046,0.828,0.84,0.043,0.035,0.064,0.046
8.0,102.577,74.654,96.0,71.0,108.0,79.0,78,78.0,14.422,6.997,0.46,34.142,0.841,1.0,0.0,1.0,0.854,0.853,0.86,0.058,0.905,0.909,0.027,0.03,0.055,0.026
9.0,106.093,85.253,100.0,82.0,112.0,89.0,75,75.0,13.486,7.126,0.379,32.142,0.912,1.0,0.0,1.0,0.812,0.808,0.828,0.042,0.867,0.876,0.031,0.028,0.053,0.03
10.0,108.05,157.464,101.0,152.0,116.0,164.0,140,140.0,16.955,10.84,-0.466,43.456,0.932,1.0,0.0,1.0,0.715,0.716,0.734,0.037,0.763,0.768,0.074,0.059,0.077,0.047
11.0,109.632,66.044,103.0,61.0,115.0,72.0,114,115.0,13.733,10.803,0.365,38.971,0.943,1.009,0.0,1.0,0.833,0.833,0.837,0.159,0.888,0.896,0.039,0.033,0.053,0.028
13.0,125.577,54.769,121.0,52.0,130.0,57.0,52,52.0,10.826,6.203,0.027,25.657,0.993,1.0,0.0,1.0,0.809,0.813,0.819,0.278,0.87,0.881,0.032,0.028,0.05,0.039
14.0,127.924,29.119,122.0,23.0,135.0,35.0,118,118.0,14.399,10.695,-0.75,40.627,0.898,1.0,0.0,1.0,0.793,0.795,0.81,0.324,0.85,0.855,0.055,0.05,0.044,0.034
16.0,136.23,17.708,128.0,11.0,142.0,25.0,161,161.0,16.514,12.997,0.804,47.213,0.908,1.0,0.0,1.0,0.833,0.826,0.83,0.3,0.887,0.891,0.042,0.038,0.044,0.025
17.0,147.31,77.133,135.0,71.0,158.0,82.0,210,214.0,24.865,11.097,-0.142,60.042,0.732,1.019,0.0,1.0,0.761,0.764,0.775,0.051,0.816,0.823,0.05,0.051,0.085,0.035
18.0,155.347,44.211,145.0,37.0,166.0,52.0,265,265.0,23.711,14.316,-0.295,62.042,0.865,1.0,0.0,1.0,0.8,0.802,0.809,0.259,0.861,0.869,0.028,0.025,0.051,0.017
19.0,149.564,330.636,146.0,327.0,153.0,334.0,55,55.0,9.412,7.508,-0.709,25.657,1.05,1.0,0.0,1.0,0.644,0.643,0.662,0.088,0.647,0.657,0.109,0.085,0.202,0.123
21.0,161.971,383.87,156.0,380.0,167.0,387.0,69,69.0,12.803,6.959,-0.357,30.728,0.918,1.0,0.0,1.0,0.723,0.722,0.727,0.046,0.77,0.781,0.037,0.035,0.169,0.044
22.0,178.95,359.57,176.0,352.0,183.0,367.0,100,100.0,15.895,8.278,1.55,38.142,0.864,1.0,0.0,1.0,0.695,0.697,0.704,0.048,0.738,0.739,0.061,0.062,0.108,0.046
23.0,229.152,39.123,217.0,33.0,243.0,45.0,309,309.0,28.602,13.921,0.027,68.385,0.83,1.0,0.0,1.0,0.819,0.819,0.828,0.227,0.878,0.883,0.037,0.034,0.048,0.016
25.0,304.832,32.928,300.0,26.0,310.0,42.0,125,125.0,16.379,9.94,-1.443,43.385,0.835,1.0,0.0,1.0,0.869,0.869,0.878,0.144,0.922,0.923,0.024,0.023,0.06,0.025
26.0,316.655,42.097,308.0,37.0,326.0,47.0,145,146.0,17.589,10.65,-0.021,46.627,0.838,1.007,0.0,1.0,0.835,0.836,0.845,0.093,0.881,0.889,0.086,0.07,0.113,0.061
27.0,328.329,28.065,318.0,19.0,338.0,38.0,322,322.0,21.984,18.704,0.722,65.113,0.954,1.0,0.0,1.0,0.816,0.817,0.829,0.134,0.861,0.868,0.105,0.09,0.111,0.054
