area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
126,82.0,286.0,95.0,299.0,89.0,292.0,139.0,47.0,15.03,11.3,0.69,43.59,44.21,0.0,0.07,0.89,0.9
98,85.0,333.0,92.0,349.0,89.0,341.0,107.0,48.0,16.5,7.7,1.57,38.94,40.74,0.0,0.08,0.89,0.91
52,86.0,356.0,93.0,364.0,89.0,360.0,55.0,49.0,9.57,6.91,-0.95,24.73,26.13,0.0,0.11,0.84,0.86
103,87.0,132.0,96.0,145.0,92.0,139.0,112.0,50.0,13.82,9.77,1.26,37.94,38.84,0.0,0.08,0.93,0.93
412,87.0,197.0,116.0,216.0,100.0,207.0,437.0,51.0,29.97,18.15,0.15,80.18,78.7,0.0,0.05,0.91,0.92
89,88.0,75.0,98.0,86.0,93.0,80.0,98.0,52.0,13.74,8.34,-0.93,35.56,36.39,0.0,0.1,0.89,0.89
230,90.0,253.0,107.0,274.0,99.0,263.0,244.0,53.0,24.5,12.23,0.87,60.77,60.29,0.0,0.07,0.87,0.88
57,92.0,147.0,99.0,156.0,96.0,152.0,64.0,54.0,10.75,7.07,-1.26,27.9,29.13,0.0,0.1,0.92,0.93
2638,94.0,104.0,155.0,172.0,123.0,139.0,2868.0,55.0,80.06,43.67,0.86,218.65,209.98,0.0,0.05,0.93,0.94
91,99.0,235.0,112.0,243.0,105.0,239.0,99.0,57.0,14.47,8.04,-0.26,36.14,36.95,0.0,0.07,0.89,0.89
384,100.0,174.0,120.0,197.0,110.0,186.0,400.0,59.0,24.58,19.98,-1.3,71.94,70.89,0.0,0.04,0.93,0.94
95,100.0,218.0,114.0,228.0,107.0,223.0,107.0,60.0,17.33,7.28,0.35,39.8,40.41,0.0,0.07,0.91,0.92
76,102.0,88.0,113.0,96.0,107.0,92.0,83.0,61.0,12.04,8.26,0.14,32.14,33.15,0.0,0.11,0.9,0.9
220,105.0,336.0,125.0,353.0,116.0,345.0,237.0,63.0,23.41,12.5,-0.61,60.53,60.06,0.0,0.09,0.92,0.92
79,111.0,78.0,120.0,89.0,115.0,84.0,85.0,65.0,12.27,8.34,0.86,32.38,33.38,0.0,0.11,0.9,0.91
