"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,87.003,88.169,77.0,79.0,97.0,98.0,302,303.0,20.618,18.868,0.475,63.355,0.945,1.003,1.0,0.0,0.694,0.699,0.774,0.398,0.741,0.749,0.0,0.106,0.0,0.0
2.0,115.977,131.683,91.0,112.0,137.0,155.0,1453,1457.0,54.508,34.617,0.708,151.296,0.798,1.003,1.0,0.0,0.753,0.753,0.827,0.518,0.792,0.806,0.0,0.088,0.0,0.0
3.0,225.795,161.463,214.0,149.0,237.0,175.0,527,539.0,29.505,23.405,0.937,87.698,0.861,1.023,0.222,0.778,0.772,0.759,0.813,0.365,0.843,0.843,0.321,0.045,0.112,0.096
4.0,227.87,190.647,214.0,174.0,239.0,209.0,631,632.0,38.159,21.93,1.146,101.255,0.773,1.002,0.437,0.563,0.766,0.75,0.797,0.376,0.827,0.829,0.368,0.069,0.072,0.062
