area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
326,51.0,316.0,74.0,340.0,62.0,328.0,348.0,1.0,30.27,14.07,0.9,75.43,74.58,0.12,0.29,0.72,0.77
282,79.0,353.0,94.0,379.0,87.0,365.0,300.0,2.0,25.64,14.21,1.25,67.36,66.54,0.08,0.32,0.75,0.8
2580,141.0,295.0,201.0,360.0,170.0,327.0,2655.0,3.0,78.74,42.29,0.93,208.41,200.27,0.55,0.39,0.76,0.8
242,275.0,273.0,295.0,287.0,286.0,279.0,249.0,4.0,22.62,13.8,0.33,58.04,57.71,1.0,0.59,0.84,0.85
550,330.0,286.0,367.0,306.0,349.0,296.0,579.0,5.0,39.17,18.01,0.22,96.43,94.1,0.97,0.47,0.76,0.81
