dt,mean,q01,q10,q25,median,q75,q90,q99
1,739.9647750494605,46.778200000000005,210.92,378.19,632.03,970.615,1381.5160000000003,2527.6489999999994
3,2157.7520995310174,142.3972,618.0219999999999,1107.1225,1846.875,2834.5025,4020.533000000004,7309.853800000001
6,4059.6256255773606,286.406,1162.48,2070.335,3467.74,5316.62,7561.582,13883.276
12,7408.144693025199,513.1496,2152.2740000000003,3774.5,6292.71,9736.9,13773.948,25432.73800000001
24,14022.562326995461,889.648,4107.68,7255.76,12088.17,18335.63,26202.14,47252.961999999934
48,25581.16085934249,1863.2459999999999,7671.9,13443.727499999999,22093.769999999997,33595.19,47471.205,84303.49199999988
72,35937.73169164169,2806.8940000000002,11224.304,19209.895,30871.32,47255.085,65904.134,118516.72120000001
96,45207.75416587677,3760.832,14648.198,24953.6275,39685.99,58857.165,82624.04500000001,144568.57549999995
