"area","col_centroid","convex_area","label","major_axis_length","max_col","max_row","min_col","min_row","minor_axis_length","orientation","perimeter","row_centroid","circularity","cloud_fraction","b1_reflectance_mean","b7_reflectance_mean","b2_reflectance_mean","b1_reflectance_bdry_mean","b1_bdry_contrast","b2_reflectance_bdry_mean","b2_bdry_contrast","candidate","solidity"
233,7.296137339055794,244.0,1,20.597240938139077,15,233,1,214,15.09911671323849,0.14363332975888443,63.45584412271571,223.10300429184548,0.7271475307116244,1.0,0.78714293,0.6597829,0.783457,0.7241139161795799,0.06302901623542867,0.7241139161795799,0.059343065002518514,false,0.9549180327868853
352,8.196022727272727,394.0,4,28.918923383107725,22,324,1,294,19.62690422172809,0.5298303748268725,91.31980515339464,311.9886363636364,0.5304232780144529,1.0,0.7599619,0.6436182,0.7647746,0.7067391179345641,0.05322278516068124,0.7067391179345641,0.05803550259842538,false,0.8934010152284264
383,24.78590078328982,422.0,10,29.07421680096428,39,311,12,287,18.5415870364285,1.1024649233869017,95.7401153701776,299.92167101827675,0.5250742793879751,1.0,0.75941354,0.64163435,0.75992566,0.7230792014691075,0.03633433889420423,0.7230792014691075,0.03684646200211439,false,0.9075829383886256
130,18.192307692307693,130.0,11,16.316011112401192,23,227,13,212,10.215168861606019,0.39884934684505285,42.970562748477136,219.05384615384617,0.8847307738459513,1.0,0.78509885,0.6532727,0.77722555,0.6986936626019379,0.08640518812514342,0.6986936626019379,0.07853189138747252,false,1.0
388,38.9639175257732,454.0,12,31.967273096370164,54,295,20,275,18.269438284089105,-1.5051822822387066,107.39696961967,284.8015463917526,0.42272461297866964,1.0,0.75944173,0.63839936,0.75868356,0.718313581842994,0.04112815151729654,0.718313581842994,0.04036998043575357,false,0.8546255506607929
225,75.90222222222222,242.0,18,25.814705023979265,88,176,65,160,11.797024821894565,1.0848294077101222,65.52691193458118,168.2711111111111,0.6584957540036506,1.0,0.7929779,0.59100574,0.76897794,0.72758749069248,0.06539043842281544,0.72758749069248,0.04139044939007008,false,0.9297520661157025
261,76.47892720306514,268.0,19,25.028670755849625,86,207,66,185,13.689251959227702,0.7161066107369858,68.76955262170047,195.92337164750958,0.693518376436233,1.0,0.7876664,0.5910902,0.7604107,0.6503998462129952,0.13726653419243084,0.6503998462129952,0.11001087985740887,true,0.9738805970149254
4153,133.40693474596677,4280.0,20,91.69348605034278,178,251,93,177,59.00675221650064,0.9968177376735461,273.7645019878171,219.14880809053696,0.6963338810990566,1.0,0.81870157,0.60411817,0.79949355,0.5858504388191774,0.2328511264464781,0.5858504388191774,0.21364311243509504,true,0.9703271028037384
192,130.97916666666666,196.0,21,17.218581564851963,140,152,123,136,14.640529419126818,-1.0502083126860593,55.11269837220809,144.17708333333334,0.7943423962385974,1.0,0.78662336,0.63594675,0.7700383,0.7118051066580481,0.07481825206845338,0.7118051066580481,0.05823320005505617,false,0.9795918367346939
548,215.22080291970804,565.0,22,29.608010045030788,230,29,202,6,24.020253805839396,-1.4101991092036195,94.42640687119285,17.182481751824817,0.7723310483566188,0.3029197080291971,0.72153294,0.089465834,0.67428166,0.3732714898781915,0.3482614509863715,0.3732714898781915,0.30101016686390447,true,0.9699115044247788
