area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
527,10.0,67.0,39.0,91.0,24.0,80.0,549.0,1.0,31.87,21.55,0.47,87.84,85.96,0.0,0.23,0.83,0.85
324,20.0,105.0,39.0,124.0,30.0,115.0,336.0,2.0,23.19,17.87,0.82,66.04,65.29,0.0,0.27,0.84,0.85
425,21.0,139.0,43.0,168.0,31.0,155.0,444.0,3.0,34.78,16.08,0.96,84.43,82.72,0.0,0.25,0.8,0.83
129,58.0,141.0,70.0,153.0,65.0,146.0,133.0,4.0,14.68,11.55,0.88,40.97,41.52,0.0,0.23,0.77,0.81
180,60.0,212.0,74.0,228.0,67.0,221.0,190.0,5.0,17.07,13.76,1.13,49.46,49.57,0.11,0.27,0.73,0.77
99,71.0,173.0,80.0,186.0,76.0,180.0,106.0,6.0,14.84,8.6,-1.18,36.97,37.73,0.0,0.17,0.77,0.81
89,78.0,231.0,88.0,240.0,83.0,236.0,92.0,7.0,11.21,10.12,-0.1,32.14,33.15,0.31,0.43,0.83,0.86
155,78.0,297.0,91.0,310.0,85.0,303.0,162.0,8.0,15.56,12.72,0.85,44.38,44.76,0.55,0.49,0.9,0.92
682,81.0,136.0,100.0,180.0,90.0,157.0,701.0,9.0,45.1,19.39,1.35,109.01,106.03,0.0,0.2,0.8,0.83
147,84.0,283.0,99.0,295.0,92.0,289.0,157.0,10.0,16.61,11.34,0.44,44.63,44.99,0.0,0.29,0.88,0.89
904,85.0,243.0,123.0,272.0,104.0,257.0,933.0,11.0,39.95,28.98,-0.12,113.5,110.28,0.0,0.15,0.8,0.84
109,87.0,219.0,98.0,230.0,93.0,224.0,115.0,12.0,13.13,10.65,0.87,36.97,37.73,0.0,0.23,0.8,0.84
291,89.0,118.0,105.0,142.0,98.0,129.0,301.0,13.0,26.04,14.52,1.09,65.94,65.2,0.0,0.24,0.8,0.82
104,93.0,182.0,105.0,193.0,99.0,187.0,111.0,14.0,13.62,10.09,-0.48,37.8,38.52,0.06,0.21,0.81,0.84
236,116.0,222.0,132.0,242.0,124.0,232.0,255.0,16.0,23.2,13.54,-1.08,61.46,60.95,0.0,0.22,0.81,0.85
1780,128.0,234.0,177.0,279.0,152.0,258.0,1852.0,17.0,51.65,44.72,0.61,161.54,155.83,0.11,0.35,0.91,0.92
124,188.0,201.0,204.0,211.0,195.0,207.0,131.0,18.0,18.3,8.82,0.41,43.8,44.21,0.08,0.31,0.87,0.87
