"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,40.019,373.308,37.0,370.0,44.0,377.0,52,52.0,9.003,7.537,-0.748,24.485,1.09,1.0,1.0,0.0,0.712,0.726,0.738,0.529,0.717,0.75,0.0,0.034,0.0,0.0
2.0,51.493,377.246,48.0,371.0,55.0,382.0,69,69.0,12.044,7.437,1.267,30.142,0.954,1.0,1.0,0.0,0.684,0.699,0.703,0.525,0.702,0.731,0.0,0.048,0.0,0.0
3.0,58.662,159.506,54.0,155.0,64.0,165.0,77,77.0,11.426,8.911,-1.118,32.385,0.923,1.0,1.0,0.0,0.676,0.691,0.703,0.449,0.684,0.714,0.0,0.042,0.0,0.0
5.0,84.53,282.747,80.0,278.0,89.0,287.0,83,83.0,10.764,9.87,-1.079,31.314,1.064,1.0,1.0,0.0,0.687,0.702,0.706,0.452,0.703,0.732,0.0,0.047,0.0,0.0
6.0,123.824,118.805,118.0,111.0,130.0,126.0,159,159.0,16.523,12.315,1.247,45.213,0.977,1.0,1.0,0.0,0.669,0.686,0.697,0.38,0.669,0.713,0.0,0.064,0.0,0.0
7.0,187.449,190.493,182.0,188.0,194.0,193.0,69,69.0,13.538,6.531,-0.047,31.071,0.898,1.0,1.0,0.0,0.725,0.745,0.747,0.489,0.758,0.777,0.0,0.043,0.0,0.0
8.0,232.974,98.857,228.0,95.0,238.0,103.0,77,77.0,11.473,8.576,0.434,30.728,1.025,1.0,1.0,0.0,0.705,0.725,0.736,0.428,0.711,0.747,0.0,0.031,0.0,0.0
9.0,249.75,102.467,246.0,99.0,254.0,106.0,60,60.0,10.013,7.629,0.575,26.485,1.075,1.0,1.0,0.0,0.716,0.732,0.736,0.488,0.726,0.755,0.0,0.02,0.0,0.0
10.0,254.278,255.764,250.0,250.0,258.0,260.0,72,72.0,10.706,8.815,-1.29,30.728,0.958,1.0,1.0,0.0,0.732,0.753,0.758,0.459,0.745,0.794,0.0,0.037,0.0,0.0
