"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,9.073,137.934,3.0,132.0,16.0,144.0,137,137.0,14.084,12.627,0.148,42.385,0.958,1.0,1.0,0.0,0.873,0.871,0.867,0.66,0.903,0.922,0.0,0.034,0.0,0.0
2.0,15.745,232.5,12.0,225.0,19.0,239.0,94,94.0,15.768,7.659,-1.368,37.314,0.848,1.0,1.0,0.0,0.793,0.791,0.794,0.645,0.847,0.855,0.0,0.043,0.0,0.0
3.0,18.339,277.21,13.0,273.0,23.0,281.0,62,65.0,11.028,7.95,0.643,30.728,0.825,1.048,1.0,0.0,0.815,0.815,0.818,0.632,0.862,0.871,0.0,0.067,0.0,0.0
4.0,17.58,252.304,15.0,246.0,21.0,259.0,69,69.0,14.921,6.116,-1.431,33.899,0.755,1.0,1.0,0.0,0.782,0.783,0.793,0.596,0.835,0.843,0.0,0.042,0.0,0.0
5.0,26.562,113.215,19.0,107.0,32.0,118.0,130,131.0,15.054,11.469,-0.579,42.142,0.92,1.008,1.0,0.0,0.839,0.839,0.839,0.672,0.891,0.897,0.0,0.034,0.0,0.0
6.0,31.105,336.098,24.0,328.0,39.0,343.0,153,158.0,17.236,11.992,-0.771,49.456,0.786,1.033,1.0,0.0,0.844,0.84,0.845,0.638,0.887,0.897,0.0,0.04,0.0,0.0
7.0,31.523,366.288,24.0,361.0,40.0,371.0,132,136.0,17.114,10.052,0.137,45.556,0.799,1.03,1.0,0.0,0.853,0.854,0.854,0.619,0.886,0.911,0.0,0.036,0.0,0.0
8.0,32.037,146.796,28.0,140.0,36.0,154.0,108,108.0,15.209,9.238,1.509,38.142,0.933,1.0,1.0,0.0,0.867,0.863,0.857,0.676,0.899,0.914,0.0,0.046,0.0,0.0
9.0,32.811,265.326,28.0,257.0,39.0,272.0,132,136.0,17.247,10.439,1.281,46.385,0.771,1.03,1.0,0.0,0.783,0.783,0.785,0.574,0.836,0.847,0.0,0.047,0.0,0.0
10.0,64.518,85.942,34.0,57.0,96.0,118.0,2736,2797.0,71.606,50.082,-0.706,210.267,0.778,1.022,1.0,0.0,0.894,0.892,0.885,0.677,0.921,0.937,0.0,0.034,0.0,0.0
11.0,38.962,395.226,35.0,390.0,43.0,399.0,53,55.0,8.953,8.541,1.467,26.935,0.918,1.038,1.0,0.0,0.861,0.859,0.868,0.599,0.888,0.918,0.0,0.037,0.0,0.0
12.0,43.303,348.03,40.0,343.0,47.0,353.0,66,66.0,10.535,8.032,-1.299,29.314,0.965,1.0,1.0,0.0,0.829,0.825,0.833,0.625,0.869,0.887,0.0,0.061,0.0,0.0
14.0,49.431,327.546,44.0,322.0,57.0,335.0,130,133.0,17.338,10.069,-0.764,44.385,0.829,1.023,1.0,0.0,0.842,0.836,0.833,0.586,0.87,0.897,0.0,0.066,0.0,0.0
16.0,63.127,136.558,56.0,129.0,72.0,143.0,165,167.0,19.08,11.572,0.748,51.213,0.791,1.012,1.0,0.0,0.844,0.843,0.843,0.675,0.888,0.892,0.0,0.068,0.0,0.0
17.0,66.109,333.022,56.0,325.0,76.0,342.0,276,287.0,22.018,16.315,-0.477,64.284,0.839,1.04,1.0,0.0,0.836,0.835,0.835,0.593,0.87,0.892,0.0,0.064,0.0,0.0
18.0,69.127,237.595,63.0,234.0,75.0,241.0,79,79.0,12.927,8.184,0.171,33.314,0.895,1.0,1.0,0.0,0.765,0.768,0.776,0.603,0.827,0.836,0.0,0.031,0.0,0.0
19.0,76.164,194.582,72.0,190.0,80.0,199.0,55,55.0,9.015,8.171,-1.566,26.971,0.95,1.0,1.0,0.0,0.783,0.787,0.795,0.631,0.842,0.841,0.0,0.056,0.0,0.0
20.0,81.561,232.6,75.0,225.0,90.0,243.0,205,208.0,18.058,15.147,1.34,54.87,0.856,1.015,1.0,0.0,0.804,0.806,0.803,0.602,0.856,0.869,0.0,0.04,0.0,0.0
22.0,93.239,28.639,83.0,18.0,105.0,38.0,280,284.0,25.391,14.412,0.764,65.841,0.812,1.014,1.0,0.0,0.858,0.854,0.853,0.669,0.901,0.91,0.0,0.032,0.0,0.0
23.0,90.245,182.62,83.0,176.0,98.0,189.0,163,163.0,15.948,13.135,0.482,46.042,0.966,1.0,1.0,0.0,0.834,0.832,0.829,0.669,0.889,0.896,0.0,0.026,0.0,0.0
26.0,102.335,130.429,90.0,122.0,113.0,137.0,275,279.0,24.028,14.778,-0.207,65.456,0.807,1.015,1.0,0.0,0.85,0.846,0.838,0.674,0.895,0.906,0.0,0.045,0.0,0.0
28.0,102.731,61.796,98.0,56.0,107.0,68.0,93,95.0,13.343,9.445,-1.206,36.728,0.866,1.022,1.0,0.0,0.871,0.871,0.871,0.693,0.913,0.923,0.0,0.019,0.0,0.0
29.0,102.614,266.446,99.0,261.0,107.0,271.0,83,83.0,12.126,8.927,1.272,32.485,0.988,1.0,1.0,0.0,0.76,0.762,0.77,0.61,0.823,0.827,0.0,0.03,0.0,0.0
31.0,113.073,183.518,105.0,172.0,122.0,194.0,303,304.0,23.525,16.979,-1.401,67.456,0.837,1.003,1.0,0.0,0.806,0.803,0.799,0.663,0.868,0.872,0.0,0.033,0.0,0.0
32.0,115.838,221.676,109.0,212.0,123.0,232.0,210,216.0,23.153,11.784,1.068,58.042,0.783,1.029,1.0,0.0,0.792,0.792,0.795,0.596,0.847,0.86,0.0,0.039,0.0,0.0
33.0,115.053,102.07,110.0,98.0,120.0,105.0,57,58.0,11.569,6.655,0.322,29.314,0.834,1.018,1.0,0.0,0.831,0.831,0.831,0.694,0.881,0.882,0.0,0.03,0.0,0.0
35.0,151.188,71.118,126.0,36.0,183.0,105.0,3017,3095.0,77.693,50.684,1.155,221.439,0.773,1.026,1.0,0.0,0.869,0.865,0.858,0.687,0.913,0.92,0.0,0.032,0.0,0.0
36.0,130.07,182.549,126.0,178.0,135.0,187.0,71,71.0,11.058,8.566,-0.727,30.728,0.945,1.0,1.0,0.0,0.833,0.828,0.822,0.682,0.88,0.89,0.0,0.046,0.0,0.0
38.0,150.27,358.667,146.0,355.0,155.0,362.0,63,63.0,11.578,6.957,0.527,28.485,0.976,1.0,1.0,0.0,0.782,0.786,0.793,0.534,0.838,0.847,0.0,0.028,0.0,0.0
40.0,157.192,253.0,150.0,248.0,165.0,257.0,104,105.0,15.699,8.648,-0.264,40.385,0.801,1.01,1.0,0.0,0.804,0.807,0.815,0.612,0.856,0.872,0.0,0.032,0.0,0.0
41.0,159.186,338.102,154.0,335.0,164.0,341.0,59,59.0,12.114,6.404,-0.104,28.485,0.914,1.0,1.0,0.0,0.817,0.818,0.829,0.56,0.868,0.885,0.0,0.039,0.0,0.0
42.0,162.077,284.635,158.0,281.0,166.0,288.0,52,52.0,9.692,6.849,-0.674,25.314,1.02,1.0,1.0,0.0,0.806,0.81,0.807,0.649,0.859,0.858,0.0,0.045,0.0,0.0
43.0,173.722,319.538,166.0,309.0,182.0,327.0,212,219.0,19.739,14.913,-1.57,59.456,0.754,1.033,1.0,0.0,0.813,0.812,0.813,0.599,0.861,0.875,0.0,0.05,0.0,0.0
45.0,180.697,207.521,168.0,196.0,197.0,216.0,307,316.0,31.331,13.82,0.551,81.012,0.588,1.029,1.0,0.0,0.824,0.824,0.819,0.66,0.885,0.889,0.0,0.035,0.0,0.0
46.0,175.073,293.927,172.0,287.0,179.0,300.0,55,64.0,15.961,5.11,1.042,34.728,0.573,1.164,1.0,0.0,0.782,0.783,0.794,0.642,0.835,0.832,0.0,0.058,0.0,0.0
47.0,181.846,63.441,174.0,52.0,189.0,73.0,279,279.0,22.985,15.676,1.431,63.213,0.877,1.0,1.0,0.0,0.838,0.835,0.829,0.691,0.892,0.9,0.0,0.059,0.0,0.0
48.0,182.047,278.694,176.0,270.0,189.0,288.0,235,239.0,20.645,14.972,-1.357,58.971,0.849,1.017,1.0,0.0,0.822,0.823,0.822,0.592,0.867,0.881,0.0,0.041,0.0,0.0
49.0,190.207,132.472,178.0,122.0,202.0,144.0,415,428.0,24.672,21.8,0.716,78.527,0.846,1.031,1.0,0.0,0.872,0.87,0.863,0.678,0.913,0.926,0.0,0.026,0.0,0.0
51.0,187.615,365.402,183.0,358.0,192.0,373.0,117,118.0,15.039,10.073,1.409,40.385,0.901,1.009,1.0,0.0,0.752,0.755,0.764,0.599,0.81,0.816,0.0,0.043,0.0,0.0
52.0,188.988,167.214,184.0,161.0,193.0,172.0,84,85.0,12.593,8.778,-1.116,34.142,0.906,1.012,1.0,0.0,0.829,0.829,0.829,0.686,0.885,0.891,0.0,0.044,0.0,0.0
53.0,197.496,204.22,185.0,196.0,208.0,214.0,254,264.0,28.003,12.286,0.638,67.355,0.704,1.039,1.0,0.0,0.831,0.826,0.823,0.677,0.887,0.891,0.0,0.041,0.0,0.0
54.0,207.729,43.196,187.0,33.0,224.0,55.0,565,591.0,40.371,19.229,0.201,102.77,0.672,1.046,1.0,0.0,0.883,0.88,0.874,0.696,0.918,0.93,0.0,0.037,0.0,0.0
56.0,203.129,283.783,195.0,275.0,212.0,294.0,249,256.0,22.549,14.53,-0.942,60.87,0.845,1.028,1.0,0.0,0.803,0.807,0.808,0.559,0.853,0.867,0.0,0.058,0.0,0.0
59.0,202.795,86.928,199.0,81.0,206.0,94.0,83,85.0,15.177,7.137,1.282,35.899,0.809,1.024,1.0,0.0,0.865,0.865,0.859,0.705,0.91,0.917,0.0,0.024,0.0,0.0
60.0,208.821,256.836,202.0,243.0,216.0,271.0,274,304.0,29.324,13.077,-1.559,73.941,0.63,1.109,1.0,0.0,0.824,0.824,0.822,0.583,0.87,0.883,0.0,0.043,0.0,0.0
61.0,211.75,140.875,206.0,138.0,217.0,144.0,64,64.0,11.818,6.899,0.085,28.728,0.974,1.0,1.0,0.0,0.871,0.87,0.869,0.689,0.908,0.913,0.0,0.021,0.0,0.0
62.0,211.949,294.436,206.0,288.0,218.0,302.0,117,120.0,17.548,8.741,-0.811,43.213,0.787,1.026,1.0,0.0,0.798,0.797,0.796,0.547,0.853,0.856,0.0,0.041,0.0,0.0
63.0,235.827,25.82,215.0,12.0,258.0,38.0,860,867.0,44.658,24.744,0.262,117.74,0.78,1.008,1.0,0.0,0.877,0.875,0.872,0.689,0.912,0.926,0.0,0.038,0.0,0.0
64.0,223.391,264.203,216.0,256.0,231.0,271.0,128,129.0,20.582,8.247,0.809,47.113,0.725,1.008,1.0,0.0,0.808,0.809,0.812,0.603,0.862,0.87,0.0,0.041,0.0,0.0
65.0,227.297,138.789,221.0,132.0,233.0,145.0,128,130.0,15.65,10.61,0.804,42.971,0.871,1.016,1.0,0.0,0.856,0.853,0.851,0.686,0.903,0.911,0.0,0.022,0.0,0.0
66.0,237.47,354.638,230.0,349.0,247.0,361.0,149,154.0,18.567,11.002,-0.329,50.385,0.738,1.034,1.0,0.0,0.774,0.776,0.78,0.622,0.836,0.841,0.0,0.046,0.0,0.0
67.0,244.866,118.739,235.0,114.0,253.0,125.0,142,148.0,18.212,10.562,-0.099,48.042,0.773,1.042,1.0,0.0,0.859,0.851,0.847,0.708,0.903,0.912,0.0,0.024,0.0,0.0
68.0,244.162,296.586,237.0,288.0,249.0,303.0,99,106.0,16.712,8.616,-0.905,42.87,0.677,1.071,1.0,0.0,0.783,0.784,0.792,0.575,0.833,0.846,0.0,0.031,0.0,0.0
69.0,267.22,255.901,242.0,240.0,295.0,275.0,1208,1284.0,59.464,26.997,-0.38,150.811,0.667,1.063,1.0,0.0,0.869,0.868,0.866,0.611,0.906,0.92,0.0,0.033,0.0,0.0
70.0,252.371,53.381,247.0,48.0,258.0,59.0,105,105.0,13.756,9.917,0.713,36.971,0.965,1.0,1.0,0.0,0.821,0.821,0.821,0.702,0.876,0.89,0.0,0.025,0.0,0.0
71.0,258.6,299.588,253.0,295.0,264.0,304.0,85,86.0,12.683,8.811,-0.282,34.142,0.916,1.012,1.0,0.0,0.843,0.838,0.84,0.601,0.884,0.896,0.0,0.04,0.0,0.0
72.0,263.205,370.67,255.0,363.0,271.0,380.0,224,231.0,18.416,16.462,1.385,57.799,0.843,1.031,1.0,0.0,0.785,0.785,0.785,0.62,0.844,0.85,0.0,0.04,0.0,0.0
73.0,266.259,32.62,261.0,25.0,272.0,39.0,108,110.0,16.375,8.729,0.991,41.213,0.799,1.019,1.0,0.0,0.859,0.859,0.859,0.681,0.904,0.909,0.0,0.033,0.0,0.0
74.0,276.801,16.573,265.0,9.0,292.0,26.0,351,365.0,27.622,16.681,-0.278,75.698,0.77,1.04,1.0,0.0,0.885,0.885,0.881,0.688,0.923,0.933,0.0,0.03,0.0,0.0
75.0,272.322,292.289,267.0,285.0,279.0,299.0,152,155.0,15.427,13.224,1.516,46.142,0.897,1.02,1.0,0.0,0.838,0.836,0.836,0.587,0.881,0.897,0.0,0.053,0.0,0.0
76.0,272.027,314.324,268.0,308.0,276.0,322.0,74,75.0,16.187,6.032,1.076,36.971,0.68,1.014,1.0,0.0,0.777,0.781,0.793,0.624,0.832,0.846,0.0,0.051,0.0,0.0
77.0,272.365,177.492,269.0,174.0,277.0,182.0,63,63.0,10.608,7.86,-0.92,28.485,0.976,1.0,1.0,0.0,0.871,0.868,0.862,0.688,0.909,0.915,0.0,0.031,0.0,0.0
78.0,280.0,39.841,272.0,36.0,287.0,44.0,107,107.0,16.518,8.255,-0.286,39.556,0.859,1.0,1.0,0.0,0.867,0.867,0.866,0.684,0.904,0.92,0.0,0.02,0.0,0.0
79.0,303.029,88.868,274.0,56.0,332.0,126.0,1870,2029.0,87.164,28.243,-0.868,213.966,0.513,1.085,1.0,0.0,0.882,0.879,0.874,0.659,0.912,0.93,0.0,0.032,0.0,0.0
80.0,283.788,333.51,279.0,327.0,288.0,340.0,104,104.0,14.159,9.432,1.369,37.556,0.927,1.0,1.0,0.0,0.858,0.855,0.852,0.604,0.894,0.907,0.0,0.026,0.0,0.0
81.0,285.699,293.644,282.0,289.0,291.0,300.0,73,76.0,13.442,7.457,-0.971,33.935,0.797,1.041,1.0,0.0,0.85,0.842,0.85,0.605,0.897,0.903,0.0,0.033,0.0,0.0
82.0,295.575,161.67,284.0,152.0,308.0,172.0,306,313.0,28.406,14.159,-0.532,73.941,0.703,1.023,1.0,0.0,0.888,0.886,0.881,0.687,0.927,0.933,0.0,0.023,0.0,0.0
83.0,296.77,218.586,292.0,213.0,300.0,226.0,87,87.0,15.075,7.753,1.176,36.728,0.81,1.0,1.0,0.0,0.865,0.862,0.855,0.675,0.91,0.914,0.0,0.018,0.0,0.0
84.0,299.466,307.259,292.0,302.0,308.0,313.0,174,174.0,17.402,12.892,0.073,48.142,0.943,1.0,1.0,0.0,0.858,0.857,0.852,0.589,0.897,0.912,0.0,0.034,0.0,0.0
85.0,296.171,368.343,292.0,364.0,300.0,375.0,70,71.0,12.273,7.779,1.337,32.142,0.851,1.014,1.0,0.0,0.816,0.816,0.819,0.613,0.865,0.871,0.0,0.042,0.0,0.0
86.0,307.393,165.836,293.0,154.0,318.0,177.0,201,234.0,37.071,7.906,-0.76,77.255,0.423,1.164,1.0,0.0,0.88,0.876,0.87,0.693,0.917,0.928,0.0,0.034,0.0,0.0
87.0,299.932,319.508,295.0,316.0,305.0,323.0,59,59.0,11.326,6.937,-0.331,29.314,0.863,1.0,1.0,0.0,0.854,0.856,0.864,0.596,0.894,0.905,0.0,0.023,0.0,0.0
88.0,311.805,126.462,296.0,114.0,326.0,136.0,493,498.0,31.016,20.685,-0.258,86.426,0.829,1.01,1.0,0.0,0.85,0.848,0.842,0.701,0.897,0.905,0.0,0.034,0.0,0.0
89.0,325.395,168.556,304.0,152.0,341.0,182.0,676,710.0,40.037,22.897,-0.664,109.569,0.708,1.05,1.0,0.0,0.888,0.884,0.878,0.687,0.92,0.933,0.0,0.039,0.0,0.0
90.0,309.526,228.26,304.0,217.0,315.0,239.0,192,195.0,22.711,10.938,1.254,56.213,0.764,1.016,1.0,0.0,0.869,0.865,0.861,0.672,0.913,0.919,0.0,0.028,0.0,0.0
91.0,316.472,20.764,307.0,12.0,326.0,29.0,267,269.0,19.604,17.536,0.179,60.87,0.906,1.007,1.0,0.0,0.866,0.866,0.866,0.688,0.909,0.92,0.0,0.033,0.0,0.0
92.0,315.863,336.489,309.0,331.0,323.0,342.0,131,131.0,17.09,9.853,0.647,42.971,0.892,1.0,1.0,0.0,0.852,0.853,0.849,0.641,0.895,0.909,0.0,0.035,0.0,0.0
93.0,323.841,318.022,310.0,309.0,335.0,327.0,359,369.0,25.985,18.004,-0.138,78.042,0.741,1.028,1.0,0.0,0.86,0.861,0.856,0.578,0.895,0.919,0.0,0.032,0.0,0.0
94.0,319.813,283.973,316.0,279.0,324.0,290.0,75,77.0,13.787,7.248,-1.062,32.728,0.88,1.027,1.0,0.0,0.862,0.863,0.865,0.597,0.903,0.917,0.0,0.023,0.0,0.0
95.0,325.479,355.239,316.0,350.0,334.0,361.0,142,149.0,17.88,10.573,-0.23,48.627,0.755,1.049,1.0,0.0,0.848,0.848,0.847,0.608,0.89,0.906,0.0,0.023,0.0,0.0
96.0,322.693,103.385,317.0,92.0,329.0,114.0,205,210.0,22.944,11.664,-1.432,57.456,0.78,1.024,1.0,0.0,0.848,0.849,0.844,0.672,0.887,0.903,0.0,0.044,0.0,0.0
97.0,323.02,142.314,319.0,139.0,327.0,146.0,51,51.0,8.769,7.533,0.042,25.314,1.0,1.0,1.0,0.0,0.857,0.856,0.856,0.721,0.895,0.901,0.0,0.041,0.0,0.0
98.0,324.552,231.408,319.0,226.0,332.0,239.0,125,134.0,17.581,9.641,-0.759,43.799,0.819,1.072,1.0,0.0,0.871,0.866,0.862,0.669,0.908,0.919,0.0,0.039,0.0,0.0
99.0,326.674,376.698,319.0,372.0,335.0,381.0,129,130.0,16.381,10.195,-0.1,42.971,0.878,1.008,1.0,0.0,0.838,0.838,0.842,0.607,0.886,0.898,0.0,0.039,0.0,0.0
