area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
112,317.0,111.0,328.0,122.0,323.0,117.0,115.0,1.0,13.52,10.75,-0.78,37.56,38.29,0.0,0.05,0.79,0.82
103,346.0,19.0,357.0,29.0,352.0,24.0,111.0,2.0,11.85,11.34,0.65,36.73,37.5,0.0,0.01,0.88,0.9
66,355.0,182.0,363.0,193.0,359.0,188.0,73.0,3.0,12.18,7.01,-1.12,30.38,31.49,0.0,0.06,0.75,0.8
134,357.0,44.0,368.0,58.0,363.0,51.0,143.0,4.0,14.92,11.6,-1.43,42.38,42.86,0.0,0.01,0.85,0.89
