"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
77.0,270.367,393.233,266.0,390.0,275.0,397.0,60,60.0,9.993,7.663,-0.059,26.728,1.055,1.0,0.0,1.0,0.833,0.834,0.836,0.037,0.878,0.885,0.036,0.034,0.081,0.039
80.0,280.96,285.874,273.0,275.0,290.0,297.0,301,302.0,23.237,16.668,-1.296,64.527,0.908,0.997,0.0,1.0,0.824,0.825,0.815,0.027,0.866,0.883,0.039,0.036,0.097,0.023
81.0,286.591,388.416,279.0,383.0,295.0,394.0,149,150.0,16.227,11.942,0.095,45.799,0.893,0.993,0.0,1.0,0.823,0.829,0.821,0.023,0.875,0.884,0.039,0.039,0.076,0.027
82.0,290.853,332.659,280.0,324.0,301.0,342.0,293,293.0,23.698,15.973,-0.409,65.113,0.868,1.0,0.0,1.0,0.839,0.842,0.838,0.02,0.884,0.894,0.022,0.02,0.079,0.018
85.0,287.695,216.526,284.0,210.0,292.0,222.0,95,95.0,13.958,8.755,1.224,34.728,0.99,1.0,0.0,0.958,0.739,0.746,0.77,0.054,0.742,0.783,0.089,0.08,0.105,0.063
86.0,291.565,362.258,287.0,359.0,296.0,366.0,62,62.0,10.566,7.577,-0.081,27.899,1.001,1.0,0.0,1.0,0.84,0.845,0.842,0.023,0.889,0.893,0.017,0.016,0.052,0.018
88.0,299.165,381.954,293.0,375.0,304.0,389.0,109,109.0,17.465,8.09,1.075,41.971,0.778,1.0,0.0,1.0,0.822,0.831,0.823,0.022,0.869,0.874,0.022,0.024,0.043,0.02
89.0,300.086,268.526,294.0,261.0,307.0,275.0,152,152.0,17.389,11.273,0.755,45.213,0.934,1.0,0.0,0.954,0.795,0.795,0.791,0.046,0.828,0.841,0.133,0.111,0.084,0.059
90.0,305.384,291.709,300.0,287.0,310.0,296.0,86,86.0,11.254,9.772,-0.5,32.142,1.046,1.0,0.0,1.0,0.827,0.828,0.821,0.047,0.861,0.875,0.046,0.044,0.11,0.043
91.0,311.83,238.52,302.0,231.0,322.0,245.0,223,228.0,21.736,13.654,0.163,58.87,0.809,0.978,0.0,0.991,0.806,0.81,0.807,0.044,0.849,0.858,0.074,0.058,0.205,0.049
93.0,313.958,305.375,310.0,298.0,318.0,313.0,120,120.0,17.241,8.955,1.403,41.314,0.883,1.0,0.0,1.0,0.799,0.801,0.8,0.031,0.852,0.866,0.029,0.034,0.073,0.029
95.0,321.292,360.308,316.0,357.0,326.0,364.0,65,65.0,11.164,7.441,0.381,28.728,0.99,1.0,0.0,1.0,0.809,0.814,0.813,0.025,0.859,0.872,0.051,0.047,0.048,0.03
