"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,58.272,370.079,54.0,363.0,62.0,377.0,114,114.0,15.534,9.519,-1.369,39.314,0.927,1.0,1.0,0.0,0.707,0.729,0.733,0.132,0.697,0.763,0.0,0.033,0.0,0.0
2.0,114.215,71.935,106.0,63.0,123.0,81.0,260,260.0,21.38,15.547,0.897,59.456,0.924,1.0,0.0,1.0,0.782,0.804,0.806,0.24,0.783,0.845,0.037,0.034,0.029,0.023
3.0,124.529,300.843,116.0,292.0,132.0,309.0,210,210.0,21.785,12.366,-0.877,54.87,0.877,1.0,1.0,0.0,0.728,0.742,0.745,0.489,0.753,0.796,0.0,0.041,0.0,0.0
4.0,159.962,204.619,154.0,200.0,165.0,211.0,105,105.0,12.999,10.472,0.807,36.971,0.965,1.0,1.0,0.0,0.715,0.737,0.742,0.325,0.716,0.779,0.0,0.035,0.0,0.0
5.0,170.732,172.781,163.0,167.0,179.0,180.0,183,184.0,17.472,13.478,-0.22,50.042,0.918,1.005,1.0,0.0,0.739,0.753,0.757,0.417,0.761,0.802,0.0,0.052,0.0,0.0
6.0,189.174,181.413,184.0,177.0,194.0,186.0,92,92.0,12.257,9.58,-0.636,33.314,1.042,1.0,1.0,0.0,0.748,0.765,0.773,0.425,0.757,0.81,0.0,0.044,0.0,0.0
7.0,202.036,167.351,196.0,162.0,207.0,173.0,111,111.0,12.219,11.723,-0.153,37.556,0.989,1.0,1.0,0.0,0.732,0.76,0.768,0.422,0.746,0.794,0.0,0.052,0.0,0.0
8.0,207.198,192.079,197.0,180.0,219.0,205.0,445,446.0,26.659,21.668,-0.884,79.941,0.875,1.002,1.0,0.0,0.728,0.747,0.755,0.384,0.736,0.792,0.0,0.042,0.0,0.0
9.0,212.932,148.056,204.0,138.0,220.0,157.0,266,266.0,20.775,17.125,-1.269,61.799,0.875,1.0,1.0,0.0,0.767,0.788,0.791,0.419,0.784,0.83,0.0,0.042,0.0,0.0
10.0,230.484,68.121,227.0,61.0,234.0,76.0,91,91.0,16.356,7.126,-1.341,37.556,0.811,1.0,0.538,0.44,0.671,0.69,0.7,0.329,0.656,0.708,0.382,0.108,0.117,0.197
11.0,247.749,20.978,240.0,15.0,256.0,28.0,179,180.0,17.802,12.881,0.409,48.627,0.951,1.006,0.0,0.989,0.659,0.686,0.692,0.188,0.641,0.702,0.071,0.065,0.097,0.05
12.0,309.213,147.361,302.0,142.0,315.0,153.0,122,124.0,14.681,11.039,-0.064,40.971,0.913,1.016,1.0,0.0,0.755,0.764,0.765,0.581,0.792,0.813,0.0,0.047,0.0,0.0
13.0,313.481,54.734,304.0,48.0,324.0,62.0,233,233.0,21.424,14.009,-0.246,56.87,0.905,1.0,0.305,0.695,0.767,0.789,0.792,0.379,0.778,0.833,0.361,0.031,0.14,0.112
14.0,315.713,84.495,306.0,71.0,326.0,96.0,428,428.0,26.466,20.757,-1.462,77.113,0.904,1.0,0.886,0.114,0.76,0.783,0.783,0.457,0.776,0.831,0.248,0.033,0.026,0.03
15.0,374.357,241.124,347.0,213.0,398.0,270.0,2023,2024.0,60.75,42.874,-0.887,172.066,0.859,1.0,1.0,0.0,0.759,0.779,0.788,0.498,0.768,0.824,0.0,0.037,0.0,0.0
16.0,355.18,31.14,349.0,26.0,361.0,37.0,100,100.0,13.468,10.097,-0.652,37.799,0.88,1.0,1.0,0.0,0.695,0.711,0.723,0.382,0.696,0.739,0.0,0.061,0.0,0.0
17.0,369.764,21.278,365.0,17.0,374.0,26.0,72,77.0,12.122,7.891,-0.811,33.349,0.814,1.069,1.0,0.0,0.653,0.676,0.686,0.32,0.651,0.686,0.0,0.047,0.0,0.0
