"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,254.286,53.444,250.0,50.0,258.0,58.0,63,63.0,9.581,8.537,0.612,27.314,1.061,1.0,0.0,1.0,0.838,0.834,0.854,0.182,0.894,0.903,0.024,0.021,0.03,0.025
2.0,266.909,57.2,263.0,54.0,271.0,61.0,55,55.0,10.282,6.907,-0.541,26.485,0.985,1.0,0.0,1.0,0.826,0.822,0.844,0.136,0.879,0.895,0.028,0.023,0.031,0.024
3.0,273.134,66.341,268.0,62.0,278.0,72.0,82,82.0,13.097,8.226,-0.758,34.692,0.856,1.0,0.0,1.0,0.809,0.805,0.825,0.086,0.865,0.881,0.028,0.026,0.023,0.021
4.0,284.78,145.712,281.0,141.0,288.0,150.0,59,60.0,10.665,7.079,1.25,28.142,0.936,1.017,0.0,0.864,0.764,0.758,0.778,0.18,0.797,0.811,0.174,0.141,0.104,0.124
5.0,303.448,91.35,296.0,84.0,312.0,99.0,183,184.0,18.621,12.77,-0.711,51.456,0.869,1.005,0.0,0.995,0.744,0.748,0.769,0.033,0.776,0.815,0.028,0.028,0.075,0.021
6.0,316.627,81.093,312.0,75.0,320.0,86.0,75,75.0,13.677,7.23,-1.174,32.728,0.88,1.0,0.0,1.0,0.75,0.754,0.774,0.04,0.79,0.815,0.025,0.023,0.048,0.021
7.0,322.551,50.966,313.0,47.0,331.0,55.0,118,118.0,19.321,7.812,0.301,44.385,0.753,1.0,0.0,0.983,0.754,0.754,0.763,0.1,0.793,0.819,0.057,0.049,0.069,0.043
8.0,336.238,66.46,328.0,61.0,343.0,73.0,126,128.0,19.441,8.595,0.539,46.385,0.736,1.016,0.0,0.968,0.729,0.732,0.752,0.056,0.761,0.788,0.071,0.059,0.05,0.039
