area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
52,231.0,207.0,239.0,213.0,235.0,210.0,54.0,61.0,9.69,6.83,0.34,24.49,25.9,0.0,0.07,0.91,0.93
271,238.0,142.0,257.0,158.0,247.0,150.0,286.0,62.0,20.31,17.19,-0.18,60.63,60.16,0.01,0.29,0.85,0.89
59,239.0,163.0,247.0,171.0,244.0,167.0,63.0,63.0,9.68,7.82,-0.81,26.73,28.02,0.0,0.04,0.71,0.78
80,245.0,193.0,255.0,201.0,250.0,197.0,84.0,64.0,11.69,8.86,0.24,31.9,32.92,0.0,0.16,0.91,0.93
68,246.0,179.0,253.0,189.0,250.0,184.0,72.0,65.0,11.13,7.86,-1.13,29.31,30.47,0.0,0.22,0.96,0.97
430,252.0,115.0,274.0,138.0,264.0,126.0,446.0,66.0,24.49,22.7,-0.55,76.53,75.23,0.08,0.34,0.81,0.84
57,256.0,222.0,264.0,228.0,260.0,225.0,58.0,67.0,9.63,7.61,-0.01,25.66,27.01,0.0,0.2,0.79,0.83
83,257.0,178.0,265.0,190.0,261.0,184.0,90.0,68.0,13.49,7.85,1.16,33.56,34.49,0.06,0.42,0.96,0.97
57,259.0,202.0,265.0,211.0,262.0,207.0,61.0,69.0,10.49,6.91,-1.55,26.49,27.79,0.0,0.12,0.84,0.86
270,294.0,193.0,314.0,211.0,305.0,203.0,284.0,74.0,23.9,14.64,-0.73,62.53,61.96,0.31,0.34,0.76,0.81
76,390.0,242.0,399.0,251.0,395.0,246.0,79.0,76.0,10.36,9.33,-1.09,29.56,30.7,0.26,0.32,0.73,0.78
