area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
202,182.0,224.0,196.0,242.0,189.0,233.0,217.0,1.0,20.8,12.53,1.05,54.63,54.47,0.0,0.16,0.68,0.72
61,217.0,270.0,224.0,279.0,221.0,274.0,66.0,2.0,10.12,7.7,1.25,27.31,28.58,0.03,0.11,0.62,0.67
89,246.0,223.0,254.0,235.0,250.0,229.0,94.0,5.0,13.52,8.48,1.34,34.14,35.05,0.0,0.02,0.67,0.72
121,254.0,207.0,266.0,218.0,260.0,213.0,128.0,7.0,14.16,10.93,0.73,39.56,40.18,0.0,0.01,0.68,0.75
75,255.0,247.0,266.0,254.0,261.0,250.0,80.0,9.0,11.38,8.42,-0.13,30.73,31.81,0.0,0.03,0.66,0.72
87,263.0,309.0,270.0,322.0,267.0,316.0,91.0,10.0,13.51,8.18,1.54,33.56,34.49,0.0,0.04,0.67,0.72
136,272.0,175.0,282.0,190.0,277.0,183.0,142.0,11.0,15.66,11.18,-1.44,42.38,42.86,0.0,0.01,0.7,0.76
76,274.0,147.0,281.0,157.0,277.0,152.0,79.0,12.0,11.88,8.29,-1.38,31.07,32.14,0.0,0.03,0.67,0.72
2510,274.0,285.0,336.0,347.0,305.0,317.0,2792.0,13.0,72.78,48.74,0.76,215.34,206.83,0.0,0.01,0.69,0.76
170,277.0,271.0,295.0,281.0,285.0,276.0,178.0,14.0,18.94,11.56,0.01,49.56,49.66,0.0,0.01,0.65,0.7
109,278.0,15.0,286.0,29.0,282.0,22.0,114.0,15.0,15.19,9.25,-1.37,38.73,39.4,0.0,0.02,0.66,0.72
56,281.0,103.0,287.0,113.0,284.0,107.0,61.0,16.0,10.89,6.62,-1.57,27.31,28.58,0.0,0.03,0.71,0.75
70,299.0,149.0,307.0,158.0,303.0,154.0,73.0,18.0,11.07,8.14,-0.9,29.31,30.47,0.0,0.05,0.67,0.72
70,301.0,26.0,307.0,37.0,304.0,31.0,73.0,19.0,13.28,6.92,1.49,31.07,32.14,0.0,0.03,0.67,0.71
108,305.0,122.0,316.0,133.0,311.0,128.0,114.0,22.0,12.16,11.6,0.48,37.8,38.52,0.0,0.02,0.68,0.71
136,331.0,70.0,341.0,85.0,336.0,77.0,143.0,23.0,16.5,10.65,-1.32,42.97,43.42,0.0,0.04,0.7,0.74
54,335.0,140.0,344.0,146.0,340.0,143.0,58.0,24.0,9.85,6.95,-0.07,25.31,26.68,0.0,0.04,0.67,0.71
248,338.0,198.0,354.0,214.0,346.0,207.0,256.0,25.0,19.77,16.24,-0.8,57.56,57.25,0.0,0.02,0.69,0.74
131,343.0,19.0,355.0,31.0,349.0,25.0,139.0,26.0,13.66,12.31,-0.97,40.97,41.52,0.0,0.03,0.65,0.68
93,343.0,269.0,355.0,277.0,349.0,273.0,99.0,27.0,13.01,9.19,0.09,34.73,35.61,0.0,0.03,0.7,0.75
104,351.0,121.0,364.0,132.0,357.0,126.0,109.0,28.0,16.99,7.79,-0.7,39.21,39.86,0.0,0.04,0.65,0.68
