"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,40.282,76.939,32.0,71.0,49.0,84.0,181,181.0,18.99,12.479,-0.35,50.627,0.887,1.0,1.0,0.0,0.781,0.799,0.81,0.636,0.815,0.851,0.0,0.016,0.0,0.0
2.0,46.824,61.846,42.0,57.0,51.0,67.0,91,91.0,11.263,10.471,-1.442,33.314,1.03,1.0,1.0,0.0,0.755,0.775,0.787,0.607,0.783,0.825,0.0,0.017,0.0,0.0
3.0,54.45,24.048,48.0,13.0,62.0,35.0,229,229.0,22.109,13.33,1.276,59.113,0.824,1.0,1.0,0.0,0.756,0.781,0.794,0.497,0.756,0.828,0.0,0.015,0.0,0.0
4.0,143.522,36.536,139.0,31.0,148.0,42.0,69,70.0,14.675,6.234,1.036,33.556,0.77,1.014,1.0,0.0,0.672,0.698,0.712,0.413,0.648,0.709,0.0,0.022,0.0,0.0
